gen,best_fitness,avg_fitness,min_fitness,amplitude,period,duty_cycle,arm_angle_deg,arm_length
1,30.340797,1.359077,0.000000,0.4931,153,0.9340,59.84,1.1796
2,30.340797,4.111474,0.000000,0.4931,153,0.9340,59.84,1.1796
3,30.340797,7.525481,0.000000,0.4931,153,0.9340,59.84,1.1796
4,30.340797,10.011292,0.000000,0.4931,153,0.9340,59.84,1.1796
5,30.742150,11.371910,0.000000,0.9263,202,0.7554,80.29,1.1318
6,30.742150,11.523361,0.000000,0.9263,202,0.7554,80.29,1.1318
7,32.751815,12.184093,0.000000,0.8154,225,0.7619,74.55,1.1896
8,32.751815,12.067538,0.000000,0.8154,225,0.7619,74.55,1.1896
9,33.276113,13.890313,0.000000,0.7197,200,0.8499,70.00,1.1559
10,33.598512,12.773888,0.000000,0.7503,199,0.8508,76.62,1.1133
11,35.037511,13.265408,0.000000,0.5972,196,0.8272,79.22,1.1695
12,35.491886,13.489253,0.000000,0.6909,192,0.8556,66.64,1.1895
13,35.491886,13.582180,0.000000,0.6909,192,0.8556,66.64,1.1895
14,35.491886,13.897171,0.000000,0.6909,192,0.8556,66.64,1.1895
15,35.491886,14.442672,0.000000,0.6909,192,0.8556,66.64,1.1895
16,35.491886,14.097392,0.000000,0.6909,192,0.8556,66.64,1.1895
17,35.491886,14.550555,0.000000,0.6909,192,0.8556,66.64,1.1895
18,35.491886,15.127317,0.000000,0.6909,192,0.8556,66.64,1.1895
19,35.491886,14.267572,0.000000,0.6909,192,0.8556,66.64,1.1895
20,35.491886,14.348921,0.000000,0.6909,192,0.8556,66.64,1.1895
21,35.491886,15.764361,0.000000,0.6909,192,0.8556,66.64,1.1895
22,35.491886,14.168577,0.000000,0.6909,192,0.8556,66.64,1.1895
23,35.491886,14.888381,0.000000,0.6909,192,0.8556,66.64,1.1895
24,35.491886,14.324049,0.000000,0.6909,192,0.8556,66.64,1.1895
25,35.491886,15.853083,0.000000,0.6909,192,0.8556,66.64,1.1895
26,35.491886,14.905359,0.000000,0.6909,192,0.8556,66.64,1.1895
27,35.491886,15.242577,0.000000,0.6909,192,0.8556,66.64,1.1895
