gen,best_fitness,avg_fitness,min_fitness,best_energy,avg_energy,min_energy,best_distance,avg_distance,min_distance,member,amplitude,period,duty_cycle,arm_angle_deg,arm_length,member_fitness,member_distance,member_energy
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,1,1.0598,126,0.2104,104.01,0.9066,11.221801,9.244300,2.263997
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,2,1.6800,393,0.7695,26.95,1.1537,3.283723,4.988743,5.727803
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,3,0.4468,285,0.5334,33.73,0.4326,0.000000,0.001833,2.035586
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,4,1.8771,441,0.0745,76.34,0.9928,5.173678,10.318479,29.230763
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,5,1.6718,217,0.2393,126.08,1.4214,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,6,0.6154,221,0.3326,128.73,0.7565,0.051078,0.177052,0.210248
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,7,0.3417,212,0.5816,29.60,0.6254,0.000000,0.005658,1.060005
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,8,1.0130,391,0.9247,71.37,1.4324,6.572461,9.927105,14.129271
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,9,1.8769,142,0.7965,92.27,0.4018,1.162202,6.281600,157.411949
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,10,0.6700,71,0.8963,119.98,1.0764,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,11,1.9990,425,0.3846,119.27,0.4523,0.007110,0.069999,2.574654
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,12,0.3935,210,0.5994,133.34,0.6732,0.000000,0.031361,0.066249
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,13,1.5460,464,0.5840,108.57,1.2558,17.974861,11.693818,1.499859
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,14,0.7431,357,0.1475,47.66,1.2465,2.451098,2.837035,0.901662
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,15,0.7690,107,0.5468,45.41,1.4717,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,16,1.4887,219,0.1767,91.70,0.6025,0.875139,1.702110,2.363870
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,17,1.5752,434,0.1756,96.65,0.9329,2.223635,2.922067,1.553316
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,18,0.3463,314,0.7477,30.79,0.3712,0.000000,0.005387,1.595099
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,19,1.0543,418,0.8724,125.63,0.5061,0.045523,0.178441,0.430060
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,20,1.7122,323,0.8529,123.43,0.9936,9.800447,7.885763,1.586436
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,21,0.9261,369,0.7325,45.73,1.0836,0.098731,0.627598,16.287582
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,22,1.8600,142,0.3509,135.36,1.4944,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,23,1.2450,271,0.2083,141.56,0.4901,0.059757,0.235624,0.835401
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,24,0.6658,234,0.3722,41.71,0.4411,0.000000,0.021983,2.806947
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,25,1.0494,199,0.4958,44.20,0.7846,0.000000,0.015994,5.678997
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,26,0.6134,364,0.9161,134.56,1.0300,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,27,1.7880,135,0.8579,139.87,1.3543,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,28,0.7925,239,0.8848,49.24,0.6547,0.261302,0.798861,3.001639
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,29,1.3243,72,0.9486,132.11,1.0579,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,30,1.6130,178,0.8619,110.35,0.7913,14.771534,10.752188,1.923270
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,31,0.8852,106,0.6884,66.31,1.2598,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,32,1.4262,460,0.4679,79.41,0.7751,0.000000,0.030884,5.614485
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,33,1.6874,75,0.8634,114.95,0.5190,4.504284,6.876200,9.018640
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,34,1.8393,246,0.3773,58.47,1.3965,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,35,0.1650,171,0.4683,67.73,0.7900,0.000000,0.007579,0.009400
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,36,1.3152,106,0.6818,62.74,1.3377,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,37,1.1678,175,0.9252,58.16,1.0683,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,38,1.4869,300,0.7550,20.22,1.3508,9.152603,10.976458,8.840369
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,39,1.0239,439,0.6577,74.84,0.8633,0.131501,0.340900,0.263793
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,40,0.4054,338,0.1026,131.00,1.2557,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,41,0.5496,452,0.5342,43.44,0.7939,0.000000,0.004068,0.138061
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,42,1.9112,360,0.8695,51.32,0.3388,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,43,1.1911,143,0.1558,35.38,1.3461,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,44,0.0561,309,0.2604,140.53,0.9944,0.000000,0.004007,0.000785
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,45,0.9533,339,0.1570,74.81,0.7527,0.816623,1.159430,0.279609
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,46,1.3044,334,0.4084,22.01,1.4299,2.413147,4.609649,9.617855
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,47,0.5813,76,0.2097,101.08,1.3667,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,48,1.4665,232,0.1353,103.24,0.4194,0.826558,2.108094,7.306574
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,49,1.9576,217,0.8272,71.51,0.7038,3.410696,4.712361,3.997058
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,50,0.6325,441,0.7866,33.74,0.9822,0.009743,0.122649,11.618335
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,51,1.0108,427,0.2431,127.02,1.2348,0.643908,2.781216,38.480260
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,52,1.1394,476,0.8392,50.71,0.6602,0.050526,0.291843,4.495915
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,53,1.0372,305,0.2533,123.91,0.7400,0.178612,0.441688,0.414059
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,54,1.8725,415,0.2519,55.52,1.2096,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,55,0.9218,373,0.6414,121.33,0.4567,0.000000,0.028149,0.344693
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,56,0.2195,354,0.2510,55.88,0.6528,0.000000,0.010539,0.009728
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,57,1.9741,326,0.6265,96.53,1.3854,0.000000,0.000000,0.000000
1,17.974861,1.369299,0.000000,157.411949,4.724803,0.000000,16.712594,1.742263,0.000000,58,0.9156,196,0.3635,19.59,0.7001,0.009390,0.091948,3.878378
